date,usage
2022-04-30-16-30,36
2022-04-30-16-31,37
2022-04-30-16-32,35
2022-04-30-16-33,36
2022-04-30-16-34,36
2022-04-30-16-35,37
2022-04-30-16-36,37
2022-04-30-16-37,38
2022-04-30-16-38,37
2022-04-30-16-39,38
2022-04-30-16-40,39
2022-04-30-16-41,40
2022-04-30-16-42,38
2022-04-30-16-43,38
2022-04-30-16-44,37
2022-04-30-16-45,33
2022-04-30-16-46,32
2022-04-30-16-47,33
2022-04-30-16-48,34
2022-04-30-16-49,34
2022-04-30-16-50,34
2022-04-30-16-51,35
2022-04-30-16-52,35
2022-04-30-16-53,38
2022-04-30-16-54,38
2022-04-30-16-55,36
2022-04-30-16-56,36
2022-04-30-16-57,37
2022-04-30-16-58,37
2022-04-30-16-59,35
2022-04-30-17-00,35
2022-04-30-17-01,35
2022-04-30-17-02,34
2022-04-30-17-03,33
2022-04-30-17-04,33
2022-04-30-17-05,33
2022-04-30-17-06,32
2022-04-30-17-07,32
2022-04-30-17-08,31
2022-04-30-17-09,32
2022-04-30-17-10,33
2022-04-30-17-11,34
2022-04-30-17-12,36
2022-04-30-17-13,36
2022-04-30-17-14,36
2022-04-30-17-15,34
2022-04-30-17-16,35
2022-04-30-17-17,35
2022-04-30-17-18,36
2022-04-30-17-19,36
2022-04-30-17-20,36
2022-04-30-17-21,39
2022-04-30-17-22,40
2022-04-30-17-23,41
2022-04-30-17-24,41
2022-04-30-17-25,40
2022-04-30-17-26,40
2022-04-30-17-27,40
2022-04-30-17-28,40
2022-04-30-17-29,38
2022-04-30-17-30,38
2022-04-30-17-31,38
2022-04-30-17-32,37
2022-04-30-17-33,38
2022-04-30-17-34,36
2022-04-30-17-35,37
2022-04-30-17-36,37
2022-04-30-17-37,37
2022-04-30-17-38,36
2022-04-30-17-39,35
2022-04-30-17-40,35
2022-04-30-17-41,35
2022-04-30-17-42,35
2022-04-30-17-43,35
2022-04-30-17-44,36
2022-04-30-17-45,35
2022-04-30-17-46,34
2022-04-30-17-47,33
2022-04-30-17-48,33
2022-04-30-17-49,34
2022-04-30-17-50,34
2022-04-30-17-51,34
2022-04-30-17-52,33
2022-04-30-17-53,32
2022-04-30-17-54,34
2022-04-30-17-55,34
2022-04-30-17-56,35
2022-04-30-17-57,35
2022-04-30-17-58,33
2022-04-30-17-59,33
2022-04-30-18-00,34
2022-04-30-18-01,35
2022-04-30-18-02,33
2022-04-30-18-03,32
2022-04-30-18-04,33
2022-04-30-18-05,32
2022-04-30-18-06,32
2022-04-30-18-07,31
2022-04-30-18-09,31
2022-04-30-18-10,31
2022-04-30-18-11,30
2022-04-30-18-12,29
2022-04-30-18-13,29
2022-04-30-18-14,28
2022-04-30-18-15,28
2022-04-30-18-16,27
2022-04-30-18-17,27
2022-04-30-18-18,27
2022-04-30-18-19,28
2022-04-30-18-20,28
2022-04-30-18-21,28
2022-04-30-18-22,28
2022-04-30-18-23,26
2022-04-30-18-24,25
2022-04-30-18-25,25
2022-04-30-18-26,26
2022-04-30-18-27,26
2022-04-30-18-28,26
2022-04-30-18-29,26
2022-04-30-18-30,26
2022-04-30-18-31,25
2022-04-30-18-32,25
2022-04-30-18-33,25
2022-04-30-18-34,24
2022-04-30-18-35,24
2022-04-30-18-36,24
2022-04-30-18-37,27
2022-04-30-18-38,28
2022-04-30-18-39,28
2022-04-30-18-40,28
2022-04-30-18-41,28
2022-04-30-18-42,28
2022-04-30-18-43,29
2022-04-30-18-44,28
2022-04-30-18-45,28
2022-04-30-18-46,29
2022-04-30-18-47,30
2022-04-30-18-48,30
2022-04-30-18-49,30
2022-04-30-18-50,32
2022-04-30-18-51,34
2022-04-30-18-52,33
2022-04-30-18-53,33
2022-04-30-18-54,34
2022-04-30-18-55,33
2022-04-30-18-56,35
2022-04-30-18-57,34
2022-04-30-18-58,34
2022-04-30-18-59,32
2022-04-30-19-00,32
2022-04-30-19-01,32
2022-04-30-19-02,32
2022-04-30-19-03,32
2022-04-30-19-04,33
2022-04-30-19-05,33
2022-04-30-19-06,32
2022-04-30-19-07,32
2022-04-30-19-08,34
2022-04-30-19-09,36
2022-04-30-19-10,36
2022-04-30-19-11,36
2022-04-30-19-12,36
2022-04-30-19-13,35
2022-04-30-19-14,35
2022-04-30-19-15,36
2022-04-30-19-16,36
